ordem;url;titulo;nota;status;json;pdf
"112";"https://www.guarantadonorte.mt.gov.br/";"Página Inicial - Prefeitura de Guarantã do Norte - MT";"8.2";"Concluída";"amaweb_www.guarantadonorte.mt.gov.br_112.json";"amaweb_www.guarantadonorte.mt.gov.br_112.pdf"
"113";"https://camaraguarantadonorte.mt.gov.br";"";"";"Falha AMAWeb";"";""
"114";"https://guiratinga.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"115";"https://www.guiratinga.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"116";"https://www.indiavai.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"117";"https://indiavai.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"118";"https://www.ipirangadonorte.mt.gov.br";"Página Inicial - Prefeitura Municipal de Ipiranga do Norte";"7.4";"Concluída";"amaweb_www.ipirangadonorte.mt.gov.br_118.json";"amaweb_www.ipirangadonorte.mt.gov.br_118.pdf"
"119";"https://www.ipirangadonorte.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"120";"https://www.itanhanga.mt.gov.br/#/home";"Prefeitura Municipal de Itanhangá";"7.0";"Concluída";"amaweb_www.itanhanga.mt.gov.br_120.json";"amaweb_www.itanhanga.mt.gov.br_120.pdf"
"121";"https://www.camaraitanhanga.mt.gov.br/";"Página Inicial - Câmara Municipal de Itanhangá - MT";"8.5";"Concluída";"amaweb_www.camaraitanhanga.mt.gov.br_121.json";"amaweb_www.camaraitanhanga.mt.gov.br_121.pdf"
"122";"https://www.itauba.mt.gov.br/";"Página Inicial - Prefeitura de Itaúba - MT";"7.9";"Concluída";"amaweb_www.itauba.mt.gov.br_122.json";"amaweb_www.itauba.mt.gov.br_122.pdf"
"123";"https://www.camaraitauba.mt.gov.br/";"Página Inicial - Câmara Municipal de Itaúba - MT";"8.3";"Concluída";"amaweb_www.camaraitauba.mt.gov.br_123.json";"amaweb_www.camaraitauba.mt.gov.br_123.pdf"
"124";"https://www.itiquira.mt.gov.br/";"Prefeitura de Itiquira - MT";"6.6";"Concluída";"amaweb_www.itiquira.mt.gov.br_124.json";"amaweb_www.itiquira.mt.gov.br_124.pdf"
"125";"https://www.itiquira.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"126";"https://www.jaciara.mt.gov.br/";"Governo de Jaciara - Poder Executivo";"8.1";"Concluída";"amaweb_www.jaciara.mt.gov.br_126.json";"amaweb_www.jaciara.mt.gov.br_126.pdf"
"127";"https://www.camarajaciara.mt.gov.br/";"Câmara Municipal de Jaciara";"5.7";"Concluída";"amaweb_www.camarajaciara.mt.gov.br_127.json";"amaweb_www.camarajaciara.mt.gov.br_127.pdf"
"128";"https://jangada.mt.gov.br/";"Página Inicial - Prefeitura de Jangada - MT";"9.3";"Concluída";"amaweb_jangada.mt.gov.br_128.json";"amaweb_jangada.mt.gov.br_128.pdf"
"129";"https://jangada.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"130";"https://www.jauru.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"131";"https://www.camarajauru.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"132";"https://cindvale.com.br";"";"";"Falha AMAWeb";"";""
"133";"https://www.cisva.com.br/#/home";"Cisva";"7.3";"Concluída";"amaweb_www.cisva.com.br_133.json";"amaweb_www.cisva.com.br_133.pdf"
"134";"https://juara.mt.gov.br/#/home";"Juara - MT";"6.8";"Concluída";"amaweb_juara.mt.gov.br_134.json";"amaweb_juara.mt.gov.br_134.pdf"
"135";"https://www.juara.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"136";"https://www.juruena.mt.gov.br/";"Access denied | www.juruena.mt.gov.br used Cloudflare to restrict access | www.juruena.mt.gov.br | Cloudflare";"9.6";"Concluída";"amaweb_www.juruena.mt.gov.br_136.json";"amaweb_www.juruena.mt.gov.br_136.pdf"
"137";"https://www.juruena.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"138";"https://www.cidesasul.com.br/";"CIDESASUL";"3.6";"Concluída";"amaweb_www.cidesasul.com.br_138.json";"amaweb_www.cidesasul.com.br_138.pdf"
"139";"https://www.juscimeira.mt.gov.br/";"Prefeitura Municipal de Juscimeira";"6.5";"Concluída";"amaweb_www.juscimeira.mt.gov.br_139.json";"amaweb_www.juscimeira.mt.gov.br_139.pdf"
"140";"https://www.camarajuscimeira.mt.gov.br/";"Câmara Municipal de Juscimeira";"6.1";"Concluída";"amaweb_www.camarajuscimeira.mt.gov.br_140.json";"amaweb_www.camarajuscimeira.mt.gov.br_140.pdf"
"141";"https://www.cidesavaledojuruena.com.br/";"Consórcio intermunicipal Cidesa";"8.1";"Concluída";"amaweb_www.cidesavaledojuruena.com.br_141.json";"amaweb_www.cidesavaledojuruena.com.br_141.pdf"
"142";"https://www.consorciocisvj.com.br/home";"CISVJ";"8.4";"Concluída";"amaweb_www.consorciocisvj.com.br_142.json";"amaweb_www.consorciocisvj.com.br_142.pdf"
"143";"https://www.juina.mt.gov.br/";"Prefeitura de Juína";"7.1";"Concluída";"amaweb_www.juina.mt.gov.br_143.json";"amaweb_www.juina.mt.gov.br_143.pdf"
"144";"https://www.juina.mt.leg.br/";"página inicial — Município de Juína";"7.8";"Concluída";"amaweb_www.juina.mt.leg.br_144.json";"amaweb_www.juina.mt.leg.br_144.pdf"
"145";"https://lambaridoeste.mt.gov.br";"Access denied | lambaridoeste.mt.gov.br used Cloudflare to restrict access | lambaridoeste.mt.gov.br | Cloudflare";"9.6";"Concluída";"amaweb_lambaridoeste.mt.gov.br_145.json";"amaweb_lambaridoeste.mt.gov.br_145.pdf"
"146";"https://lambaridoeste.mt.leg.br/";"Access denied | lambaridoeste.mt.leg.br used Cloudflare to restrict access | lambaridoeste.mt.leg.br | Cloudflare";"9.6";"Concluída";"amaweb_lambaridoeste.mt.leg.br_146.json";"amaweb_lambaridoeste.mt.leg.br_146.pdf"
"147";"https://www.lucasdorioverde.mt.gov.br/site/";"Prefeitura de Lucas do Rio Verde";"6.1";"Concluída";"amaweb_www.lucasdorioverde.mt.gov.br_147.json";"amaweb_www.lucasdorioverde.mt.gov.br_147.pdf"
"148";"https://www.camaralucasdorioverde.mt.gov.br/";"Página Inicial - Câmara Municipal de Lucas do Rio Verde - MT";"7.9";"Concluída";"amaweb_www.camaralucasdorioverde.mt.gov.br_148.json";"amaweb_www.camaralucasdorioverde.mt.gov.br_148.pdf"
"149";"https://www.luciara.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"150";"https://www.luciara.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"151";"https://www.marcelandia.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Marcelândia";"5.5";"Concluída";"amaweb_www.marcelandia.mt.gov.br_151.json";"amaweb_www.marcelandia.mt.gov.br_151.pdf"
"152";"https://www.camaramarcelandia.mt.gov.br/";"Página Inicial - Câmara Municipal de Marcelândia - MT";"7.8";"Concluída";"amaweb_www.camaramarcelandia.mt.gov.br_152.json";"amaweb_www.camaramarcelandia.mt.gov.br_152.pdf"
"153";"https://www.matupa.mt.gov.br/";"Página Principal Prefeitura Municipal de Matupá - MT";"6.7";"Concluída";"amaweb_www.matupa.mt.gov.br_153.json";"amaweb_www.matupa.mt.gov.br_153.pdf"
"154";"https://matupa.mt.leg.br/";"Câmara Municipal de Matupá - MT - Portal Oficial";"8.3";"Concluída";"amaweb_matupa.mt.leg.br_154.json";"amaweb_matupa.mt.leg.br_154.pdf"
"155";"https://www.mirassoldoeste.mt.gov.br/";"Access denied | www.mirassoldoeste.mt.gov.br used Cloudflare to restrict access | www.mirassoldoeste.mt.gov.br | Cloudflare";"9.6";"Concluída";"amaweb_www.mirassoldoeste.mt.gov.br_155.json";"amaweb_www.mirassoldoeste.mt.gov.br_155.pdf"
"156";"https://amaramirassoldoeste.mt.gov.br";"";"";"Falha AMAWeb";"";""
"157";"https://www.nobres.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Nobres";"7.7";"Concluída";"amaweb_www.nobres.mt.gov.br_157.json";"amaweb_www.nobres.mt.gov.br_157.pdf"
"158";"https://www.nobres.mt.leg.br/";"Página Inicial - Câmara Municipal de Nobres - MT";"8.4";"Concluída";"amaweb_www.nobres.mt.leg.br_158.json";"amaweb_www.nobres.mt.leg.br_158.pdf"
"159";"https://www.nortelandia.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Nortelândia - MT";"7.7";"Concluída";"amaweb_www.nortelandia.mt.gov.br_159.json";"amaweb_www.nortelandia.mt.gov.br_159.pdf"
"160";"https://nortelandia.mt.leg.br/";"Câmara Municipal de Nortelândia";"6.4";"Concluída";"amaweb_nortelandia.mt.leg.br_160.json";"amaweb_nortelandia.mt.leg.br_160.pdf"
"161";"https://www.nossasenhoradolivramento.mt.gov.br/";"Página Inicial - Prefeitura de Nossa Senhora do Livramento - MT";"9.3";"Concluída";"amaweb_www.nossasenhoradolivramento.mt.gov.br_161.json";"amaweb_www.nossasenhoradolivramento.mt.gov.br_161.pdf"
"162";"https://www.camaranossasenhoradolivramento.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"163";"https://www.novabandeirantes.mt.gov.br/";"Página Inicial - Prefeitura de Nova Bandeirantes - MT";"7.7";"Concluída";"amaweb_www.novabandeirantes.mt.gov.br_163.json";"amaweb_www.novabandeirantes.mt.gov.br_163.pdf"
"164";"https://www.camaranovabandeirantes.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"165";"https://www.novabrasilandia.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Nova Brasilândia - MT";"7.6";"Concluída";"amaweb_www.novabrasilandia.mt.gov.br_165.json";"amaweb_www.novabrasilandia.mt.gov.br_165.pdf"
"166";"https://www.novabrasilandia.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"167";"https://www.novacanaadonorte.mt.gov.br/home";"Prefeitura Municipal de Nova Canaã do Norte";"6.7";"Concluída";"amaweb_www.novacanaadonorte.mt.gov.br_167.json";"amaweb_www.novacanaadonorte.mt.gov.br_167.pdf"
"168";"https://www.camaranovacanaa.mt.gov.br/";"Câmara Municipal de Nova Canaã do Norte - Câmara Municipal de Nova Canaã do Norte";"7.9";"Concluída";"amaweb_www.camaranovacanaa.mt.gov.br_168.json";"amaweb_www.camaranovacanaa.mt.gov.br_168.pdf"
"169";"https://www.novaguarita.mt.gov.br/";"Página Inicial - Prefeitura de Nova Guarita - MT";"7.5";"Concluída";"amaweb_www.novaguarita.mt.gov.br_169.json";"amaweb_www.novaguarita.mt.gov.br_169.pdf"
"170";"https://www.novaguarita.mt.leg.br/";"Câmara Municipal de Nova Guarita — CÂMARA MUNICIPAL DE NOVA GUARITA - MT";"7.5";"Concluída";"amaweb_www.novaguarita.mt.leg.br_170.json";"amaweb_www.novaguarita.mt.leg.br_170.pdf"
"171";"https://cidesa.com.br/";"";"";"Falha AMAWeb";"";""
"172";"https://www.novalacerda.mt.gov.br/Home/";"Página Inicial - Prefeitura Municipal de Nova Lacerda - MT";"8.5";"Concluída";"amaweb_www.novalacerda.mt.gov.br_172.json";"amaweb_www.novalacerda.mt.gov.br_172.pdf"
"173";"https://www.novalacerda.mt.leg.br/";"";"";"Falha AMAWeb";"";""
